email,role,user_id,group_id
rainbow09@cd.com,admin,User_1,
Alice@nbc.com,admin,User_2,
johnd@hotmail.com,user,User_3,
naturelover@abc.com,user,User_4,
john@crowd.com,user,User_5,
xlon@nature.com,user,User_6,
hui@nbc.com,user,User_7,
rain@attw.com,user,User_8,
jjlok@nature.org,user,User_9,
bobdoe@example.com,user,User_10,
carolh@example.com,user,User_11,
dave@example.com,user,User_12,
ERM@nbc.com,user,User_13,
frank@nec.com,user,User_14,
fly@abc.com,user,User_15,
vegas@hotmail.com,user,user_em01,g1
Thomas@abc.com,admin,user_em02,g1
jumpup@att.com,user,user_em03,g1
biketrail@nbc.com,user,user_em04,g1
Foresthigh@crowd.com,user,user_em05,g2
myway@nature.world,user,user_em06,g2
admin@msn.com,admin,user_em07,g2
emotiontest@crowd.com,user,user_em08,g2
bob@att.com,user,User_i1,
admin@abc.com,admin,User_i2,
